,price,rating,brand,ram,ssd_storage,color,processor
492,69990.0,3,Hp,16.0,512,Silver,Snapdragon
493,73990.0,4,Apple,8.0,256,Silver,Unknown
494,589990.0,4,Apple,48.0,2048,Black,Unknown
495,73990.0,4,Apple,8.0,256,Grey,Unknown
496,200490.0,4,Apple,16.0,1024,Silver,Unknown
497,342490.0,4,Apple,24.0,2048,Silver,Unknown
498,47990.0,3,Acer,8.0,512,Silver,AMD
499,172490.0,4,Apple,16.0,1024,Blue,Unknown
500,69990.0,3,Hp,16.0,512,Silver,Snapdragon
501,73990.0,4,Apple,8.0,256,Silver,Unknown
502,73990.0,4,Apple,8.0,256,Silver,Unknown
503,342490.0,4,Apple,24.0,1024,Silver,Unknown
504,200490.0,4,Apple,16.0,1024,Silver,Unknown
505,75990.0,3,Hp,16.0,512,Silver,Intel
506,44990.0,4,Acer,8.0,256,Silver,AMD
507,342490.0,4,Apple,24.0,2048,Silver,Unknown
508,194990.0,4,Apple,24.0,1024,Silver,Unknown
509,69990.0,3,Hp,16.0,512,Silver,Snapdragon
510,73990.0,4,Apple,8.0,256,Grey,Unknown
511,73990.0,4,Apple,8.0,256,Silver,Unknown
512,342490.0,4,Apple,24.0,1024,Silver,Unknown
513,200490.0,4,Apple,16.0,1024,Silver,Unknown
514,79990.0,4,Hp,16.0,512,Silver,Snapdragon
515,75990.0,3,Hp,16.0,512,Silver,Intel
516,69990.0,3,Hp,16.0,512,Silver,Snapdragon
517,342490.0,4,Apple,24.0,2048,Silver,Unknown
518,44990.0,4,Acer,8.0,256,Silver,AMD
519,73990.0,4,Apple,8.0,256,Grey,Unknown
520,81490.0,5,Dell,16.0,512,Silver,Intel
521,194990.0,4,Apple,24.0,1024,Silver,Unknown
522,73990.0,4,Apple,8.0,256,Silver,Unknown
523,101990.0,4,Asus,16.0,512,Silver,Intel
524,69990.0,3,Hp,16.0,512,Silver,Snapdragon
525,75990.0,3,Hp,16.0,512,Silver,Intel
526,44990.0,4,Acer,8.0,256,Silver,AMD
527,73990.0,4,Apple,8.0,256,Grey,Unknown
528,475490.0,5,Apple,36.0,2048,Silver,Unknown
529,81490.0,5,Dell,16.0,512,Silver,Intel
530,53990.0,2,Dell,8.0,512,Black,Unknown
531,73990.0,4,Apple,8.0,256,Silver,Unknown
532,141990.0,5,Dell,16.0,512,White,Intel
533,69990.0,3,Hp,16.0,512,Silver,Snapdragon
534,75990.0,3,Hp,16.0,512,Silver,Intel
535,49990.0,3,Acer,8.0,512,Silver,AMD
536,73990.0,4,Apple,8.0,256,Grey,Unknown
537,73990.0,4,Apple,8.0,256,Silver,Unknown
538,475490.0,5,Apple,36.0,2048,Silver,Unknown
539,194990.0,4,Apple,24.0,1024,Silver,Unknown
540,62490.0,4,Dell,16.0,512,Black,Intel
541,589990.0,4,Apple,48.0,2048,Black,Unknown
542,49990.0,3,Acer,8.0,512,Silver,AMD
543,69990.0,3,Hp,16.0,512,Silver,Snapdragon
544,464490.0,5,Apple,36.0,2048,Black,Unknown
545,73990.0,4,Apple,8.0,256,Grey,Unknown
546,73990.0,4,Apple,8.0,256,Silver,Unknown
547,75990.0,3,Hp,16.0,512,Silver,Intel
548,194990.0,4,Apple,24.0,1024,Silver,Unknown
549,589990.0,4,Apple,48.0,2048,Black,Unknown
550,167490.0,5,Dell,15.20558882235529,512,Silver,AMD
551,75990.0,3,Hp,16.0,512,Silver,Intel
552,49990.0,3,Acer,8.0,512,Silver,AMD
553,342490.0,4,Apple,24.0,2048,Silver,Unknown
554,69990.0,3,Hp,16.0,512,Silver,Snapdragon
555,172490.0,4,Apple,16.0,1024,Silver,Unknown
556,53990.0,2,Dell,8.0,512,Black,Unknown
557,73990.0,4,Apple,8.0,256,Grey,Unknown
558,73990.0,4,Apple,8.0,256,Silver,Unknown
559,81490.0,5,Dell,16.0,512,Silver,Intel
